Num,식품코드,,,FoodName,,,,Category,ServingSize,,Kcal,,,,Protein,Fat,Carbo,,,,,,,,,,,,,,,,,,,,,Natrium
132,D00132,,,고기만두,,,,만두류,250,,452.013,,,,16.301,21.363,48.635,,,,,,,,,,,,,,,,,,,,,849.329
133,D00133,,,군만두,,,,만두류,250,,685.24,,,,17.528,29.212,88.055,,,,,,,,,,,,,,,,,,,,,952.215
134,D00134,,,김치만두,,,,만두류,250,,420.531,,,,15.578,14.214,57.573,,,,,,,,,,,,,,,,,,,,,941.25
135,D00135,,,물만두,,,,만두류,120,,156.668,,,,6.759,6.096,18.692,,,,,,,,,,,,,,,,,,,,,287.023
136,D00136,,,간자장,,,,면류,650,,824.539,,,,22.334,22.034,134.224,,,,,,,,,,,,,,,,,,,,,2716.201
137,D00137,,,굴짬뽕,,,,면류,900,,680.672,,,,32.869,9.605,115.688,,,,,,,,,,,,,,,,,,,,,2662.346
138,D00138,,,기스면,,,,면류,1000,,606.931,,,,37.819,10.724,89.785,,,,,,,,,,,,,,,,,,,,,2764.588
139,D00139,,,김치라면,,,,면류,650,,552,,,,13.8,16.9,86.2,,,,,,,,,,,,,,,,,,,,,2531.6
140,D00140,,,김치우동,,,,면류,800,,500.177,,,,15.548,4.601,99.144,,,,,,,,,,,,,,,,,,,,,2874.602
141,D00141,,,냉김치말이국수,,,,면류,600,,302.53,,,,12.9,4.8,52,,,,,,,,,,,,,,,,,,,,,2121.62
142,D00142,,,닭칼국수,,,,면류,900,,663,,,,42.2,12.8,94.7,,,,,,,,,,,,,,,,,,,,,2125.17
143,D00143,,,둘깨칼국수,,,,면류,600,,457.88,,,,17.6,16.5,59.8,,,,,,,,,,,,,,,,,,,,,1192.57
144,D00144,,,떡라면,,,,면류,700,,743,,,,19.3,21.3,118.6,,,,,,,,,,,,,,,,,,,,,2313.45
145,D00145,,,라면,,,,면류,550,,526,,,,14,17.8,77.6,,,,,,,,,,,,,,,,,,,,,1879.01
146,D00146,,,막국수,,,,면류,550,,599.913,,,,20.993,6.278,114.861,,,,,,,,,,,,,,,,,,,,,1503.042
147,D00147,,,막국수,,,,면류,1000,,571.59,,,,20,5.8,109.8,,,,,,,,,,,,,,,,,,,,,3260.05
148,D00148,,,메밀국수,,,,면류,600,,611.717,,,,19.643,6.883,117.799,,,,,,,,,,,,,,,,,,,,,1753.841
149,D00149,,,물냉면,,,,면류,800,,551.618,,,,15.822,4.08,112.903,,,,,,,,,,,,,,,,,,,,,2618.211
150,D00150,,,비빔국수,,,,면류,550,,617.939,,,,18.752,11.502,109.852,,,,,,,,,,,,,,,,,,,,,1854.912
151,D00151,,,비빔냉면,,,,면류,550,,622.739,,,,19.539,6.11,122.399,,,,,,,,,,,,,,,,,,,,,1663.871
152,D00152,,,삼선우동,,,,면류,1000,,691.656,,,,47.939,8.478,105.9,,,,,,,,,,,,,,,,,,,,,2722.319
153,D00153,,,삼선자장면,,,,면류,700,,803.898,,,,33.638,18.135,126.533,,,,,,,,,,,,,,,,,,,,,2628.242
154,D00154,,,삼선짬뽕,,,,면류,900,,662.366,,,,39.626,10.77,101.733,,,,,,,,,,,,,,,,,,,,,2689.129
155,D00155,,,수제비,,,,면류,800,,646.836,,,,20.838,5.55,128.383,,,,,,,,,,,,,,,,,,,,,2030.304
156,D00156,,,쌀국수,,,,면류,600,,320.32,,,,15.6,4.2,55.1,,,,,,,,,,,,,,,,,,,,,1651.58
157,D00157,,,열무김치국수,,,,면류,800,,431,,,,15,10.2,69.6,,,,,,,,,,,,,,,,,,,,,3007.45
158,D00158,,,열무냉면,,,,면류,800,,525.492,,,,20.842,5.783,97.52,,,,,,,,,,,,,,,,,,,,,3152.366
159,D00159,,,오일소스스파게티,,,,면류,400,,646.736,,,,19.555,23.426,89.42,,,,,,,,,,,,,,,,,,,,,1124.332
160,D00160,,,올갱이국수,,,,면류,1500,,566,,,,11.2,8.3,111.6,,,,,,,,,,,,,,,,,,,,,3862.84
161,D00161,,,우동(일식),,,,면류,700,,421.514,,,,13.39,7.906,74.199,,,,,,,,,,,,,,,,,,,,,2390.321
162,D00162,,,우동(중식),,,,면류,1000,,648.471,,,,29.452,21.022,85.366,,,,,,,,,,,,,,,,,,,,,3395.857
163,D00163,,,울면,,,,면류,1000,,728.857,,,,37.455,7.369,128.178,,,,,,,,,,,,,,,,,,,,,2799.918
164,D00164,,,자장면,,,,면류,650,,796.503,,,,19.771,20.321,133.631,,,,,,,,,,,,,,,,,,,,,2391.581
165,D00165,,,잔치국수,,,,면류,700,,599.166,,,,21.123,4.506,118.531,,,,,,,,,,,,,,,,,,,,,1683.168
166,D00166,,,짬뽕,,,,면류,1000,,687.624,,,,28.167,19.178,100.587,,,,,,,,,,,,,,,,,,,,,4000.091
167,D00167,,,짬뽕라면,,,,면류,750,,689,,,,21.3,26.3,92,,,,,,,,,,,,,,,,,,,,,2493.81
168,D00168,,,쫄면,,,,면류,450,,601.775,,,,18.399,9.991,109.565,,,,,,,,,,,,,,,,,,,,,1346.422
169,D00169,,,치즈라면,,,,면류,600,,595,,,,16.8,23,80,,,,,,,,,,,,,,,,,,,,,2113.4
170,D00170,,,콩국수,,,,면류,800,,666.828,,,,31.032,10.51,112.027,,,,,,,,,,,,,,,,,,,,,944.589
